Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Palau,PLW,96.4171066284,96.9888076782,97.0327911377,97.1172561646,97.2166290283,97.3271942139,96.2468970733,97.5669555664,98.6,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Panama,PAN,43.49,52.16,59.7310676575,60.6940956116,61.65,62.6611557007,63.6577377319,64.6580505371,65.6589813232,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Papua New Guinea,PNG,..,4.5731129646,8.4003047943,8.9576673508,9,10.113404274,10.7043228149,11.2989702225,11.894238472,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Paraguay,PRY,58.5249176025,77.0731887817,93.256852,94.596283,94.268077,96.253098,95.143326,97.892911,97.74687,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Peru,PER,1.7689657211,28.944198,50.133503,55.129787,58.5864,64.237932,68.558489,71.597192,74.504761,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Philippines,PHL,38.8877639771,57.1209030151,72.8,73.1446456909,75.0101623535,76.8868637085,78.7710266113,81.5,82.5474319458,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Poland,POL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Portugal,PRT,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Puerto Rico,PRI,..,..,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Qatar,QAT,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Romania,ROU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Russian Federation,RUS,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Rwanda,RWA,..,0.9,2,4.1638617516,4,2.5,5.3639187813,7.7,9.1,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Samoa,WSM,92.142250061,94.3613052368,95.7231674194,95.972366333,96.2364807129,96.1471944658,96.7945251465,97.0810089111,97.6,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,San Marino,SMR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sao Tome and Principe,STP,29.3514080048,38.96764,44.3544197083,44.2,46.1368484497,47.0467071533,43.3,48.8850593567,54.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Saudi Arabia,SAU,..,..,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Senegal,SEN,..,9.570763588,21.1984901428,26.4,24.278263092,26.6,27.4027767181,27.5,32.7,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Serbia,SRB,99.8354263306,99.9944152832,99.8592529297,99.9007110596,99.9453430176,99.9783859253,99.9946365356,99.999382019,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Seychelles,SYC,56.2987098694,74.022644043,87.7884140015,89.588104248,91.4027023315,93.2284851074,95.0617218018,96.8986968994,98.7362823486,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sierra Leone,SLE,1.6628680229,1.430791378,1.4,0.8358379006,0.8548351526,0.29,0.9226576686,0.7,1.0060158968,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Slovak Republic,SVK,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Slovenia,SVN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Solomon Islands,SLB,..,1.0114489794,18.8959388733,21.3761711121,23.8713188171,26.3776512146,28.8914394379,41.3,33.9270973206,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Somalia,SOM,..,0.0903513432,5.6313552856,6.5343356133,7.4522299767,8.381310463,9.3178472519,10.2581129074,11.1989994049,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Africa,ZAF,26.4388446808,45.2485923767,59.883014679,61.7912826538,63.7144622803,64.1,67.5906524658,69.5362014771,71.4823760986,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Sudan,SSD,..,..,0.2418981194,0.6,0.7,1.7151454687,2.3570330143,3.0026493073,3.6488871574,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Spain,ESP,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sri Lanka,LKA,50.7719230652,67.5507888794,80.5605010986,82.2656784058,84.1,86.15,87.4557876587,88.8,90.9413299561,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Kitts and Nevis,KNA,95.0023193359,97.3084335327,98.75390625,99.0090332031,99.27684021,99.540184021,99.7635040283,99.913192749,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Lucia,LCA,78.3598861694,86.0605010986,91.8076171875,92.60496521,93.4172363281,94.2406845093,95.0715942383,95.9062347412,96.7414932251,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Martin (French part),MAF,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Vincent and the Grenadines,VCT,66.0473098755,78.0673828125,87.2700576782,88.4993591309,89.7435684204,90.9989624023,92.2618179321,93.5284042358,94.7956085205,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sudan,SDN,13.2,17.7540855408,22.1946029663,15,23.4775714874,24.1376991272,24.8052825928,25.4765968323,31.7,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Suriname,SUR,99.777053833,98.5646896362,97.181427002,97.0874786377,97.0084533691,96.9406051636,96.8802185059,96.8235549927,96.7675170898,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Swaziland,SWZ,13.0673446655,18.6998176575,22.7924213409,23.3829593658,23.9884109497,24.6050491333,25.22914505,25.856967926,26.4854125977,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sweden,SWE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Switzerland,CHE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Syrian Arab Republic,SYR,61.3926391602,71.8748321533,79.8472137451,80.9227218628,82.0131454468,83.1147613525,84.2238235474,85.3366165161,86.4500350952,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tajikistan,TJK,98.9444351196,99.1298065186,98.864730835,98.9105606079,98.9712982178,99.0432281494,98.8,99.2057266235,99.2894592285,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tanzania,TZA,0.2116806805,1.8438155651,2.1,2,3.7,4.1,3.6,4.2,4.0289363861,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Thailand,THA,77.5165328979,87,94.4577560425,95.4491882324,97,97.4730758667,98.4980621338,99.5267868042,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Timor-Leste,TLS,..,..,19.7766895294,22.6258983612,24,28.3653297424,31.2480945587,34.1345863342,37.0217056274,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Togo,TGO,..,7.6784849167,27.2434749603,29.7680606842,32.307559967,77.9,37.4163894653,39.9782600403,16.3,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tonga,TON,88.8149719238,89.9723739624,90.484916687,90.6279525757,90.7858963013,90.6023747466,91.3,91.3119277954,91.4928665161,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Trinidad and Tobago,TTO,93.3313064575,96.2,97.8313446045,98,98.4467773438,98.7731399536,99.1069488525,99.4444961548,99.782661438,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tunisia,TUN,95.263343811,97.1170883179,98.186706543,98.3993682861,98.626953125,98.8657150269,99.1119384766,99.3618850708,99.6124572754,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turkey,TUR,88.4319000244,94.3880157471,98.7395324707,99.3624343872,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turkmenistan,TKM,98.2891921997,99.6,99.8951187134,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Turks and Caicos Islands,TCA,99.836769104,100,99.8410949707,99.8915863037,99.9570007324,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tuvalu,TUV,91.0400466919,93.6616439819,95.3455429077,95.6349945068,95.9393539429,96.2549057007,96.615720524,96.9046478271,97.2320022583,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uganda,UGA,..,2.6281712055,4.6889801025,3.3,5.3770217896,5.3,6.109805584,6.4836549759,10.3,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ukraine,UKR,90.2037811279,95.9659576416,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United States,USA,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uruguay,URY,66.5579071045,79.6271133423,88.937183,91.0033111572,92.3524398804,94.44,95.0805206299,97.043614,97.450928,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Uzbekistan,UZB,97.8564529419,99.5646057129,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Vanuatu,VUT,17.4438781738,15.0274238586,12.6808853149,17.3735566304,12.2670907974,12.0788354874,11.8980379105,8.5,11.5445203781,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Venezuela, RB",VEN,97.5297698975,95.2833328247,93.072807312,92.8754501343,92.6930160522,92.5217590332,92.357963562,92.1978988647,92.0384521484,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Vietnam,VNM,68.9937591553,83.0171356201,93.8224639893,94.6,96.6966400146,97.75,99.6155471802,100,98.9,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Virgin Islands (U.S.),VIR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,West Bank and Gaza,PSE,97.7416610718,99.3,99.4516448975,99.5968933105,99.7,99.9284210205,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Yemen, Rep.",YEM,21.8130722046,37.3437805176,49.3549690247,50.935333252,52.5306091309,54.1370697021,55.7509880066,65.2,58.9869041443,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Zambia,ZMB,1.8,2.2,3.0691208839,3.1878066063,3.1,3.4661912918,3.6184332371,3.7744040489,3.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Zimbabwe,ZWE,3.1927206516,7.0206270218,9.6695766449,10.0796585083,10.5046539307,13.3,11.384472847,11.8318395615,9.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Arab World,ARB,59.3580945486,65.1890896987,72.2923230994,71.7653445458,73.7342661525,74.5007168824,75.2184967617,76.7122496516,77.4072690965,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Caribbean small states,CSS,72.3565435643,84.8230865913,89.2763556229,91.5636475129,93.102214524,93.9820624147,94.8596297738,95.6701137367,96.7349114336,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Central Europe and the Baltics,CEB,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Early-demographic dividend,EAR,41.1929726171,49.579557439,61.9406276158,65.9696483776,66.1169885804,62.0507537148,71.3505772944,69.9377080463,71.5013017356,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,East Asia & Pacific,EAS,79.3430578113,84.4500787674,90.3298604469,91.3269768265,91.9866451298,92.8080028007,93.7372467601,94.3131514133,94.9367133254,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,East Asia & Pacific (excluding high income),EAP,78.7580125184,83.9050292004,90.0849001227,91.1131053141,91.7940220764,92.6392498355,93.5935209301,94.1852366656,94.8247622093,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,78.75808607,83.9050952779,90.0849251351,91.1131261175,91.7940402137,92.6392649995,93.5935292551,94.1852469752,94.8247734165,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Euro area,EMU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Europe & Central Asia,ECS,97.864684498,99.0506853622,99.8158779133,99.9079282395,99.9441770374,99.9554561856,99.9622198583,99.9736513065,99.9792425086,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Europe & Central Asia (excluding high income),ECA,95.9665892903,98.2224570744,99.6564440732,99.8286409537,99.8964671393,99.9177767872,99.9304758313,99.9516449703,99.9620067316,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,96.3409905128,98.3850003831,99.6887062115,99.8447690054,99.9061942187,99.9255130029,99.9370238698,99.956197764,99.9655810818,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,European Union,EUU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Fragile and conflict affected situations,FCS,..,16.0560476735,22.5716600808,23.1526759731,23.5976173559,27.2461509107,27.7373056604,29.5583443768,31.3529433192,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Heavily indebted poor countries (HIPC),HPC,..,5.6742299543,10.1730271372,10.6039882269,11.3208561808,12.748917108,13.8783650336,14.7305856816,17.3001288339,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,High income,HIC,99.5576094728,99.8342083524,99.9360437277,99.9604942374,99.9687618145,99.9682559812,99.9885540175,99.9768047119,99.996580503,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,IBRD only,IBD,63.8698750546,73.1298933502,80.1045234345,82.6770271339,82.8942612979,79.2977901222,86.2686287215,84.8011481681,85.523930217,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,IDA & IBRD total,IBT,58.2755571391,60.4318495135,65.98998224,68.0916727632,68.1805578468,66.1308365476,71.1342415787,70.2232990691,71.2659285627,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,IDA blend,IDB,28.3933487897,42.7316621511,51.8020433075,54.482789663,54.5787892655,55.5843845717,57.3889667123,56.3545969856,60.1188183517,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,IDA only,IDX,..,12.7801171709,21.2046835668,22.3106356067,22.9052868471,25.754071042,26.3827621632,28.2835765744,30.0422754029,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,IDA total,IDA,..,22.3337152555,30.5312975302,32.1091006663,32.5492910284,34.8346843345,35.8142315235,36.8158855447,39.176916446,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Late-demographic dividend,LTE,83.8186564705,90.6401295133,95.669690465,96.3078388554,97.1056537756,97.7145769905,98.4170809906,98.9200150121,99.2421772944,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Latin America & Caribbean,LCN,56.3791275941,71.463191404,82.2194891911,83.5052069503,84.4732030459,85.8491377825,86.8992717461,88.5239410811,88.5198483465,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Latin America & Caribbean (excluding high income),LAC,55.8309879772,70.8603443139,81.7447496561,83.0282747051,84.0136811427,85.4369900627,86.4852882641,88.1861136907,88.1466402573,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,55.7834530035,71.0232480306,81.8950766867,83.198158075,84.1746202483,85.5696388483,86.6300661068,88.2801683088,88.2585390958,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Least developed countries: UN classification,LDC,..,9.5183605198,17.8375116345,18.8745884277,19.3788861323,22.4152332616,22.9883330251,24.8552515278,26.3807977182,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Low & middle income,LMY,58.037573118,60.2381893185,65.8271468787,67.9378630787,68.0279115724,65.9694390014,70.9960052099,70.082725491,71.1300541946,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Low income,LIC,..,3.2991805534,9.1101746955,10.042238465,10.4321176811,12.6719777971,13.418525738,14.3535377394,16.5975139159,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lower middle income,LMC,37.09407134,48.7326603853,60.6978910469,64.5357657705,64.7930384006,60.9009621995,69.9089703007,68.3088744496,69.9843553601,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Middle East & North Africa,MEA,73.9567242945,81.6320993627,87.8054747148,88.3617471786,89.1419376574,89.8785660606,90.5703696944,92.1268757792,91.9199443813,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Middle East & North Africa (excluding high income),MNA,73.7321656271,81.4466547084,87.1343084658,87.7098134257,88.5251972666,89.2975730846,90.0248255593,91.6688164848,91.4479446956,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,73.5921390104,81.3293678642,87.0476511702,87.6253172225,88.4449388291,89.2203569931,89.951535003,91.6069072877,91.3836815633,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Middle income,MIC,60.0847597055,66.2877199944,73.5753950229,76.0267491367,76.2589348396,73.7615785213,79.6072840574,78.6074950648,79.6597591465,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,North America,NAC,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,OECD members,OED,96.9874449053,98.8179968149,99.4649613485,99.6346666344,99.7398780749,99.8649865101,99.7139861543,99.9697893992,99.7459387179,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Other small states,OSS,..,37.7959187746,38.1814148485,37.9849732439,38.9252994011,39.2694791531,41.0622417672,41.6492661754,42.6716113462,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Pacific island small states,PSS,64.3323096143,43.5858863338,49.7808319801,50.6442977569,52.1853990661,52.7563616619,53.63909021,57.2271045454,55.6244515516,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Post-demographic dividend,PST,98.9655473162,99.5601751229,99.9193199002,99.9284905971,99.9374713019,99.9464807871,99.955834812,99.9653901574,99.9751010855,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Pre-demographic dividend,PRE,8.1046131519,11.36350948,14.7179415173,15.2261864964,15.7798478224,17.6457730939,18.1492366164,18.2652180301,20.7367646796,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Small states,SST,..,51.5384314093,51.1592215307,51.5960385324,52.6837287762,53.124448511,54.5761067219,55.4073019784,56.1630426602,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Asia,SAS,33.4551284544,46.4117253006,59.949418314,65.3159804826,65.0967148782,59.084728698,72.2887267555,69.7191156191,71.7756523209,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Asia (IDA & IBRD),TSA,33.4551284544,46.4117253006,59.949418314,65.3159804826,65.0967148782,59.084728698,72.2887267555,69.7191156191,71.7756523209,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sub-Saharan Africa,SSF,..,10.406081001,13.5520451621,13.8916554935,14.8022187083,15.1528514664,15.9000509932,15.8757668068,17.9204861762,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sub-Saharan Africa (excluding high income),SSA,..,10.400445587,13.5463443269,13.8859665163,14.7964484666,15.147268829,15.8944816036,15.8701100036,17.9149036961,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,10.406081001,13.5520451621,13.8916554935,14.8022187083,15.1528514664,15.9000509932,15.8757668068,17.9204861762,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Upper middle income,UMC,84.1889737818,90.5851207473,95.1470879393,95.7493858733,96.431080084,96.9561543152,97.525545766,98.0889672509,98.3891492846,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,World,WLD,61.6379630723,63.1605516438,68.1636515035,70.1135359466,70.1794436297,68.2364635958,72.9131925106,72.0442910058,73.0103200911,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/01/2018,,,,,,,,,,,,,,,
